Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11745.641000	10023.980000	0.609062	19.946496
11745.642000	10024.471000	0.609671	19.944353
11745.643000	10024.289000	0.610085	19.944223
11745.644000	10024.855000	0.609313	19.950471
11745.645000	10024.258000	0.608772	19.963225
11745.646000	10025.372000	0.609586	19.950630
11745.647000	10025.330000	0.609575	19.948007
11745.648000	10024.669000	0.609314	19.956230
11745.649000	10025.073000	0.608663	19.960502
11745.650000	10024.998000	0.608467	19.957595
11745.651000	10024.789000	0.608387	19.961326
11745.652000	10025.524000	0.608871	19.957901
11745.653000	10025.346000	0.608672	19.961226
11745.654000	10025.019000	0.608253	19.972105
11745.655000	10026.295000	0.608568	19.967314
11745.656000	10026.301000	0.608373	19.971449
11745.657000	10025.742000	0.608299	19.974927
11745.658000	10025.739000	0.607875	19.972570
11745.659000	10025.950000	0.608022	19.971418
11745.660000	10026.483000	0.608870	19.948380
11745.661000	10026.426000	0.608434	19.965178
11745.662000	10026.780000	0.608518	19.960059
11745.663000	10027.015000	0.608660	19.952148
11745.664000	10026.866000	0.608515	19.954719
11745.665000	10026.742000	0.608773	19.952545
11745.666000	10027.140000	0.609186	19.945054
11745.667000	10027.214000	0.608367	19.948319
11745.668000	10027.527000	0.608037	19.951020
11745.669000	10026.577000	0.607716	19.946954
11745.670000	10027.158000	0.607361	19.953011
11745.671000	10027.612000	0.607505	19.947739
11745.672000	10027.457000	0.607857	19.949562
11745.673000	10026.891000	0.607630	19.957252
11745.674000	10027.242000	0.607745	19.955734
11745.675000	10028.010000	0.607178	19.957489
11745.676000	10027.664000	0.607654	19.947724
11745.677000	10028.148000	0.607551	19.952072
11745.678000	10028.037000	0.607249	19.956795
11745.679000	10027.500000	0.606494	19.968611
11745.680000	10027.552000	0.606898	19.967947
11745.681000	10027.829000	0.607877	19.943925
11745.682000	10028.708000	0.607668	19.950180
11745.683000	10028.794000	0.607375	19.961165
11745.684000	10028.898000	0.607608	19.959281
11745.685000	10029.174000	0.607506	19.964560
11745.686000	10028.619000	0.607773	19.960708
11745.687000	10028.741000	0.607836	19.963828
11745.688000	10029.075000	0.607995	19.958755
11745.689000	10029.248000	0.607756	19.956001
11745.690000	10029.570000	0.606998	19.962027
